Pattern Name,,Product Description,Designer,Craft,Skill Level,# of Projects,Season,Finished Measurements,Yarn Requirements,Needles and Other Materials,Gauge,Yarn Weight,Fiber Content
Kinglet PDF,Downloadable PDF,"This baby blanket knitting patttern features a fun geometric design in an easy-to-knit construction. Garter stitch squares begin with one color, change to another then end with a third. Completed squares are sewn together to create the full blanket. ",Amy Christoffers,Knitting ,Intermediate,N/A,All Seasons,40” square,"7 balls of Berroco Comfort:
Main Color - #9702 Pearl
Contrast Color 1 - 2 balls of #9709 Jadeite
Contrast Color 2 - 2 balls of #9799 Marigold","Knitting needles, size 8 (5.00 mm) or size to obtain gauge","20 sts and 36 rows = 4"" in Garter Stitch",Worsted,50% Nylon / 50% Acrylic
Comfort For Baby #357 E-Book,eBook,"Comfort for Baby is a collection of playful blankets, toys, garments and accessories for your sweet little boy or girl.",Berroco Design Team,Knitting ,Beginner - Advanced,8,All Seasons,N/A,Berroco Comfort,N/A,N/A,Worsted,50% Nylon / 50% Acrylic
Tirso PDF,Downloadable PDF,"Berroco Tirso is a simple one-row repeat, and the cheerful colors of Berroco Aero do all the work in this easy knitted scarf pattern. This bulky weight yarn has a wonderful halo and will work up lightning fast, leaving you with a fabric that you won’t want to put down. Self-striping, tonal color variations will give your project extra pizazz without extra ends to weave in!",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Approximately 25"" wide x 80"" long (after blocking)","5 cakes of Berroco Aero, shown in color #8016 Nimbus","Knitting needles, size 13 (9.00 mm) or size to obtain gauge","12 sts and 20 rows = 4"" in Pattern Stitch","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Savio PDF,Downloadable PDF,"Berroco Savio is an easy women’s crocheted cowl, and this piece is worked lengthwise in Berroco Aero and seamed. Look no further than Berroco Aero for ultra-soft, fuzzy goodness! This bulky weight yarn has a wonderful halo and will work up lightning fast, leaving you with a fabric that you won’t want to put down.",Berroco Design Team,Crochet,Beginner,N/A,Fall/Winter,"Approximately 50"" around x 15"" high (Before twisting)","3 cakes of Berroco Aero, shown in color #8015 Cumulus","Crochet hook, size 8.00 mm (L-11) or size to obtain gauge","9 FPdc and 7 rows = 4""","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Piave PDF,Downloadable PDF,"Whip up this easy cardigan knitting pattern in no time for a lightweight layer! Knit in pieces to show off the colors of Berroco Aero, this long cardigan features gentle waist shaping and pockets.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter/Spring,"Bust (closed) – 32 (36, 40, 44, 48, 52)”
Length – 29 (29, 30, 30½, 31½, 32)”","4 (5, 5, 6, 6, 7) cakes Berroco Aero, shown in #8012 Stratus",US 11 (8.00mm) and US 13 (9.00mm) ,"12 sts and 16 rows = 4"" in stockinette stitch on US 13 (9.00mm)","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Mera PDF,Downloadable PDF,"Berroco Mera is an easy women’s poncho knitting pattern that is worked flat to get the broad stripes in Aero. A cozy turtleneck adds extra warmth to this laying piece. Berroco Aero is an ultra-soft bulky weight yarn that has a fabulous halo and will work up super fast, leaving you with a fabric that you won’t want to put down. ",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter,"Shown in size 54"" with approximately 22"" of ease
Bust – 48 (54, 61, 68)”
Length – 25 (26, 27, 28)”","4 (5, 6, 7) cakes Berroco Aero, shown in #8017 Cirrus","US 11 (8.00mm) 16” circular and single points or circular
US 13 (9.00mm) single points or circular","12 sts and 16 rows = 4"" in stockinette stitch on US 13 (9.00mm)","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Brenta PDF,Downloadable PDF,"Berroco Brenta is an easy stockinette stitch hat worked in the round from the bottom up. This super simple one-cake knitting pattern is a great way to play with Berroco Aero! This bulky weight yarn has a beautiful halo and will work up lightning fast, leaving you with a fabric that you won’t want to put down. Self-striping, tonal color variations will give your project extra pizazz without extra ends to weave in!",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,16 (18½)” around and 9½ (11)” high – shown in size 16”,"1 cake Berroco Aero, shown in #8015 Cumculus",US 11 (8.00mm) and US 13 (9.00mm) Double Pointed Needles,"12 sts and 16 rnds = 4"" in stockinette stitch on US 13 (9.00mm)","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Adda PDF,Downloadable PDF,"Berroco Adda is a fitted women’s pullover with set-in sleeves. This simple silhouette shows how the colors of Berroco Aero behave when worked in the round. The body is worked from the bottom up in the round to the underarm. The sleeves are worked in the round to the underarm then the caps are worked back and forth in rows and seamed to the body. This bulky weight yarn has a beautiful halo and will work up super fast. The self-striping, tonal color variations will give this knitting project extra pizazz without extra ends to weave in!",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Shown in size 34” with approximately 2” of positive ease
Bust – 30 (34, 38, 42, 46, 50, 54)”
Length – 22 (22½, 23, 23½, 24, 24½, 25)”","4 (4, 5, 5, 6, 6, 7) cakes Berroco Aero, shown in #8014 Aurora Borealis","US 11 (8.00mm) 16” and 29” circular
US 13 (9.00mm) 29” circular","12 sts and 16 rows = 4"" in stockinette stitch on US 13 (9.00mm)","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Zonda PDF,Downloadable PDF,"Berroco Zonda, designed by Brenda York, is a fabulous scarf or shawl that begins with a couple of triangles, then stitches are picked up and knit out to form the long wings using Aero. Berroco Aero is a bulky weight yarn that has a beautiful halo and will work up lightning-fast, leaving you with a fabric that you won’t want to put down. Self-striping, tonal color variations will give your project extra pizazz without extra ends to weave in!",Brenda York,Knitting ,Beginner,N/A,Fall/Winter,114” across the top edge and 18: deep at the center point,"3 cakes Berroco Aero, shown in #8018 Breeze",US 13 (9.00mm) ,12 sts and 16 rows = 4” in stockinette stitch,"Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Minuano PDF,Downloadable PDF,"The hardest part is choosing a color of Aero for Berroco Minuano! Is this a cowl or a poncho, you decide! Minuano is knit sideways with short rows, and this easy project will keep you toasty warm on colder days. Berroco Aero is a bulky weight yarn that has a beautiful halo and will work up lightning-fast, leaving you with a fabric that you won’t want to put down. Self-striping, tonal color variations will give your project extra pizazz without extra ends to weave in!",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter,"Shown in size 37½”
Lower Edge Circumference – 37½ (39½, 41½, 43½)”
Neck Opening Circumference – 27½ (29½, 31½, 33½)”","3 cakes Berroco Aero, shown in #8016 Nimbus",US 9 (5.50mm) 29” circular and spare circular ,"12 sts and 14 rows = 4” in garter stitch, unstretched","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Etesians PDF,Downloadable PDF,"Berroco Etesians is a colorful cropped women’s cardigan that is knit from the sleeves up before each side is joined at the center back. Stitches are then picked up to form the bottom of the cardigan and ribbed edging for a simple, nearly seamless knit. Berroco Aero is a bulky weight yarn that has a wonderful halo and will work up lightning-fast, leaving you with a fabric that you won’t want to put down.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Bust – 36 (40, 44, 48, 52, 56)” closed
Length – 16½ (17, 18, 18, 19, 19½, 20, 20)”
","3 (3, 4, 4, 5, 5, 5, 6) cakes Berroco Aero, shown in #8021 Rain","US 11 (8.00mm) 29” circular
US 13 (9.00mm) 29’ circular","12 sts and 16 rows = 4” in stockinette stitch on US 13 (9.00mm)
13 sts and 17 rows = 4” in k2, p2 ribbing on US 11 (8.00mm)","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Alisio PDF,Downloadable PDF,Joined-as-you-go crochet squares form a simple cowl that can be easily customized to size—we include two sizes in the pattern. A simple border adds a finished edge.,Alison Green,Crochet,Beginner,N/A,Fall/Winter,"Long Version:  Approximately 8"" wide x 66"" around
Short Version:  Approximately 6"" wide x 50"" around","2 cakes Berroco Aero, shown in #8020 Sunrise","Crochet hook, size M-13 (9.00 mm) or size to obtain gauge","1 block = approximately 6"" long","Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Aero #401 E-Book,eBook,Whip up these four new patterns for Berroco Aero and get ready for serious snuggle time! The three knitting patterns and one crochet pattern are quick to make and make the most of the long color changes of this alpaca-blend yarn.,Berroco Design Team,Knitting ,Beginner - Advanced,4,All Seasons,N/A,Berroco Aero,N/A,N/A,"Bulky, Novelty",65% Alpaca / 28% Nylon /  7% Wool
Alain PDF,Downloadable PDF,"Geek chic at its best, this feminine vest is finished with a flirty crochet edge.",Cirilia Rose,Knitting and Crochet,Beginner,N/A,Fall/Winter/Spring,"Sizes: X-Small, Small, Medium, Large, 1X and 2X
Bust (closed): 32(36-40-44-48-52)”
Length – 17½(18-19-19½-20½-20½)”","2(2-3-3-3-3) balls of Berroco Vintage DK, shown in #2184 Sloe Berry (Main Color) and 1 ball of #2105 Oats (Contrast Color)","Needles: US 5 - 3.75 mm
Hooks: 3.75 mm (F)","23 stitches and 32 rows = 4 inches
in stockinette stitch",DK,50% Acrylic / 40% Wool / 10% Nylon
Fayerye PDF,Downloadable PDF,"With floral buds and a little green i-cord on top, this whimsical hat (pronounced ""fairy"") is sure to be a fall and winter favorite for your little one. ",Emily Nora O’Neil,Knitting ,Beginner,N/A,Fall/Winter/Spring,"16½"" around x 6½” high","1 hank each of Berroco Vintage DK in #2106 Smoke (Main Color), #2175 Fennel  (A) and #2194 Breezeway (B)",US size 6 (4mm) 16” circular needle & double pointed needles,22 sts & 28 rows = 4” in St st,DK,50% Acrylic / 40% Wool / 10% Nylon
Barnum PDF,Downloadable PDF,Barnum is a colorwork tam worked from the bottom up that features a beautiful lateral braid. ,Alison Green,Knitting ,Intermediate,N/A,Winter,One Size,"1 hank each Berroco Vintage DK), #2106
Smoke (Main Color) and #2182 Black Currant (Contrast Color)","US 4 - 3.5 mm
US 6 - 4.0 mm","22 stitches and 28 rows = 4 inches
in St st on size 6 needles",DK,50% Acrylic / 40% Wool / 10% Nylon
Millet PDF,Downloadable PDF,"Millet is a crocheted cowl worked in an easy cluster stitch pattern. This cowl is worked flat, back and forth, and then seamed. Best of all, it only uses two skeins of Berroco Vintage® DK, so it's a fast, affordable, and stylish project!",Amy Christoffers,Crochet,Beginner,N/A,Winter,"Approximately 29” around x 11½”
high","2 hanks Berroco Vintage DK, shown in #2116 Dove","Crochet hook, size 3.50 mm (E) or
size to obtain gauge",24 dc and 15 rows =4” in dc,DK,50% Acrylic / 40% Wool / 10% Nylon
Quinn PDF,Downloadable PDF,"Knit up the cozy Quinn scarf with Berroco Vintage DK! An easy four-row stitch pattern makes up the bulk of this long, lightweight scarf, with deep ribbing worked at the edges to keep them from rolling.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter/Spring,"Approximately 10½"" wide x 80"" long","4 hanks Berroco Vintage DK, shown in #2173 Red Pepper","Knitting needles, size 8 (5.00 mm) or size to obtain gauge","25 sts and 30 rows = 4"" in Pattern Stitch",DK,50% Acrylic / 40% Wool / 10% Nylon
Tarn PDF,Downloadable PDF,"Tarn is a cozy oversized sweater that would be perfect for fall. Knit in pieces from the bottom up, this sweater knitting pattern features an a knit and purl stitch pattern with a wide neckline. Choose any of the shades of Berroco Vintage® DK to knit this sweater.",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Bust: 36 (40, 44, 48, 52, 56, 60)""
Length: 22½ (23, 23½, 24, 24, 24½, 24½)""
Shown in size 40"". Suggested ease: 2–5"" positive ease.","4 (5, 6, 6, 7, 7, 8) hanks of Berroco Vintage DK, shown in #2155 Delphinium","Knitting needles, sizes 6 (4.00 mm) and 7 (4.50 mm) or size to obtain gauge
24"" length circular needle, size 6 (4.00 mm)
1 stitch marker
1 stitch holder","22 sts and 30 rows = 4"" in charted pattern on larger needles after blocking",DK,50% Acrylic / 40% Wool / 10% Nylon
Sam PDF,Downloadable PDF,"Designed in the style of classic fishermen's ganseys, Sam is a pullover perfect for your little guy.",Amy Christoffers,Knitting ,Beginner,N/A,Fall/Winter,"Children's sizes: 2, 4, 6, 8, 10, and 12
Chest – 23(25-27½-30-32-34)""
Length – 14(15½-17½-19-20½-22)""","3(3-4-4-5-5) hanks of Berroco Vintage Chunky , shown in #6193 Yukon Green","24"" length circular knitting needles: sizes 7 (4.50 mm) and 9 (5.50 mm)
1 set (4) double pointed knitting
needles: sizes 7 (4.50 mm) and 9 (5.50 mm)
2 st holders
waste yarn to hold sts
2 st markers","14 sts and 21 rnds = 4"" in St st on larger needles
16 sts and 32 rnds = 4"" in Mistake Rib on larger needles",Bulky,50% Acrylic / 40% Wool / 10% Nylon
Calisson PDF,Downloadable PDF,"A fun and quick project to keep your ears warm in the cooler months. Knit up in Berroco Vintage Chunky, Calisson is a great quick knit project to gift to loved ones too!",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter,Approximately 19” around x 4½” wide,"1 hank of Berroco Vintage Chunky, shown in #6106 Smoke","Straight knitting needles, size 10 (6.00 mm) or size to obtain gauge
Cable needle (cn)
2 st markers.",18 sts and 24 rows = 4” in Cable Pat,Bulky,50% Acrylic / 40% Wool / 10% Nylon
Ayla PDF,Downloadable PDF,"Ayla is a free sock knitting pattern that uses Berroco Vintage® Chunky to quickly whip up a fast, fun pair of socks. These socks are knit from the top down on two circular needles (though they can be adjusted for double-pointed needles or Magic Loop), with a simple cable repeat worked on the front and top of the foot, as well as the back above the heel flap.",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Approximately 8"" around leg and foot x 10"" from top edge to top of heel","2 hanks of Berroco Vintage Chunky, shown in #6134 Sour Cherry","Two 16"" circular needles, size 10 (6.00 mm) or size to obtain gauge
Cable needle (cn)
5 stitch markers (1 a different color for beg-of-round)
Tapestry needle","18 sts and 20 rnds = 4"" in k1, p1 ribbing
14 sts and 20 rnds = 4"" in St st
13 sts = 2½"" in Cable Pattern",Bulky,50% Acrylic / 40% Wool / 10% Nylon
Mere PDF,Downloadable PDF,"Mere is a cozy sweater knitting pattern worked with Berroco Vintage® Chunky. Knit in pieces from the bottom up, Mere features a small front pockets and a deep ribbed cowlneck.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Bust: 34 (38, 42, 46, 50, 54, 58, 62)""
Length: 20 (20, 21½, 22, 23½, 24, 24, 24½)"" not including cowl
Shown in size 38"". Suggested ease: 2–4"" positive ease.","7 (8, 9, 10, 12, 13, 14, 15) hanks of Berroco Vintage Chunky, shown in #6180 Dried Plum","Knitting needles, sizes 8 (5.00 mm) and 10 (6.00 mm) or size to obtain gauge
16"" length circular needles, sizes 7 (4.50 mm), 8 (5.00 mm), and 10 (6.00 mm)
4 stitch holders
1 stitch marker","14 sts and 21 rows = 4"" in St st on larger needles",Bulky,50% Acrylic / 40% Wool / 10% Nylon
Buster PDF,Downloadable PDF,This adorable sweater is sure to keep your furry friends warm through winter! Berroco's Buster is a fun little project for your pup!,Berroco Design Team,Knitting ,Intermediate,N/A,Winter,"Fits dog approximately 16” from
back of neck to tail","2 hanks of Berroco Vintage, shown in #51181 Ruby","Straight knitting needles, sizes 6 and 7
Two ½” buttons.
4 Stitch holders","20 sts = 4”; 28 rows = 4” in St st on
size 7 needles",Worsted,50% Acrylic / 40% Wool / 10% Nylon
Glengary PDF,Downloadable PDF,"
This long scarf is knit in two halves, beginning with slip-stitch colorwork. The pieces are joined at the center with a three-needle bind off.",Brenda York,Knitting ,Intermediate,N/A,Fall/Winter,"Approximately 11"" wide x 72"" long","3 hanks of Berroco Vintage, shown in #51182 Indigo (Main Color) with 1 hank of two contrast colors - #51190 Cerulean and #51103 Clary","Spare knitting needle, size 8 (5.00
mm) for 3-needle bind off
Waste yarn to hold sts","19 sts and 24 rows = 4"" in Pat St",Worsted,50% Acrylic / 40% Wool / 10% Nylon
Fountain PDF,Downloadable PDF,Fountain is a raglan-sleeve sweater knit in Berroco Vintage. The front and back are worked separately with this eye-catching lace detail worked at the edges.,Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter,"Bust – 36 (40, 44, 48, 52, 56, 60)""
Length – 23 (23½, 24, 24½, 25, 25½, 26)""
Note: This garment was designed with approximately 6"" of ease. Please take this into consideration when selecting your size.","4 (5, 5, 6, 6, 7, 7) hanks of Berroco Vintage, shown in #5199 Sage","Straight needles, size 8 (5.00 mm) or size to obtain gauge
16"" circular needle, size 8 (5.00 mm)
2 st markers","18 sts and 24 rows = 4"" in St st",Worsted,50% Acrylic / 40% Wool / 10% Nylon
Blossfeldt PDF,Downloadable PDF,"Berroco Blossfeldt is an astoundingly textured throw knit in the round from the center out with a garter stitch border that completes this piece. Knit in Berroco Vintage, a squishy and soft acrylic, wool and nylon blend. Obtainable in an exquisite range of solids and heathers, this worsted weight, machine washable yarn is perfect for anything you can dream up.
",Berroco Design Team,Knitting ,Intermediate,N/A,All Seasons,45” square,"6 hanks Berroco Vintage, shown in #5105 Oats",US 8 (5.00mm) 16” & 40” circular and double pointed needles,18 sts and 24 rnds = 4” in stockinette stitch,Worsted,50% Acrylic / 40% Wool / 10% Nylon
Olive PDF,Downloadable PDF,Olive is an easy knitted poncho knit lengthwise with alternating columns of stockinette and reverse stockinette stitch. One end is joined to the body to create the opening for the head and neck. Knit this simple layering piece with Berroco Vintage.,Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Approximately 22 (24)"" wide x 46 (54)"" long (before sewing)
Shown in size Small/Medium.","4 (5) hanks Berroco Vintage, shown in #51109 Beet Root","Straight needles, size 9 (5.50 mm) or size to obtain gauge","18 sts and 24 rows = 4"" in Rib Pattern",Worsted,50% Acrylic / 40% Wool / 10% Nylon
Ashaway PDF,Downloadable PDF,"Ashaway is a sweet, raglan-sleeve cardigan knit in pieces from the bottom up. Corrugated ribbing and a little bit of colorwork add visual interest to the bottom of the body and sleeves. Choose two of the 88 shades of Berroco Vintage to knit your own!",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Bust (closed): 32½ (37, 42, 47, 51, 56, 61)""
Length: 22½ (23, 23½, 23½, 24, 24½, 25)""
Shown in size 37"".
Suggested ease: 0–4"" positive ease.","4 (5, 6, 6, 7, 7, 8) hanks of Berroco Vintage, shown in #5100 Snow Day (Main Color) and #5195 Macaron (Contrast Color)","Knitting needles, sizes 6 (4.00 mm) and 7 (4.50 mm) or size to obtain gauge
Seven ¾"" buttons","20 sts and 27 rows = 4"" in St st on larger needle",Worsted,50% Acrylic / 40% Wool / 10% Nylon
Casa Sonia PDF,Downloadable PDF,"
With a simple combination of knits and purls, Casa Sonia is a cozy scarf with geometric patterning.",Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,Approximately 8” wide x 60” long,"3 Hanks of Berroco Ultra Alpaca Chunky, shown in #7207 Salt & Pepper","Straight knitting needles, size 10 (6.00 mm) or size to obtain gauge
Cable needle (cn)
2 st markers.",14 sts = 4”; 20 rows = 4” in St st,Bulky,50% Alpaca / 50% Wool
Galilee PDF,Downloadable PDF,"Galilee is knit in Berroco Ultra Alpaca Chunky with sleeve cuffs attached to the body to help keep your wrists covered. The wickerwork stitch pattern is worked only on the front, leaving the back plain and simple.",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter,"Sizes: Small (Medium, Large, X-Large, 2X, 3X)
Bottom edge – 55 (59, 64, 68, 71, 76)""
Length – 24½ (25, 25½, 26, 26½, 27)""","9 (10, 11, 13, 14, 15) hanks of Berroco Ultra Alpaca Chunky, shown in #72183 Garnet Mix","29"" circular needles, sizes 9 (5.50 mm) and 10 (6.00 mm) or size to obtain gauge
16"" circular needle, size 9 (5.50 mm)
2 st markers","14 sts and 20 rows = 4"" in St st on larger needles
19 sts and 20 rows = 4"" in Wickerwork Pattern on larger needles",Bulky,50% Alpaca / 50% Wool
McKenna PDF,Downloadable PDF,"McKenna is a pair of fingerless mitts knit with Berroco Ultra Alpaca Chunky, featuring a simple pair of cable columns running up the back of the hand. These would also make great gifts!",Berroco Design Team,Knitting ,Intermediate,N/A,Winter,"Approximately 8"" around x 7½"" long","1 hank of Berroco Ultra Alpaca Chunky, shown in #72193 Starry Night Mix","1 set each double-pointed needles, sizes 9 (5.50 mm) and 10 (6.00 mm) or size to obtain gauge
Cable needle (cn)
5 stitch markers (1 a different color for beg-of-round)
2 stitch holders","14 sts and 20 rnds = 4"" in Reverse St st on larger needles",Bulky,50% Alpaca / 50% Wool
Barachois PDF,Downloadable PDF,"Barachois is a cozy capelet knit with Berroco Ultra Alpaca Chunky. Knit from the bottom up in the round after the split hem, Barachois features easy cables and a deep turtleneck.",Berroco Design Team,Knitting ,Intermediate,N/A,Winter,"Circumference (at bottom edge): 52 (56, 60, 64, 68)""
Length: 16½ (16¾, 17½, 17¾, 18½)"" (Not including turtleneck)
Shown in size 52"".","5 (6, 6, 7, 7) hanks of Berroco Ultra Alapca Chunky, shown in #72183 Garnet Mix","16"" and 29"" length circular needles, size 10 (8.00 mm) or size to obtain gauge
16"" length circular knitting needle, size 8 (5.00 mm)
Cable needle (cn)
12 stitch markers (1 a different color for beginning of round)","14 sts and 23 rnds = 4"" in Reverse St st on larger needles
30 sts = 7"" and 23 rows/rnds = 4"" in Cable Pattern",Bulky,50% Alpaca / 50% Wool
Lacis PDF,Downloadable PDF,Berroco's Lacis gloves are women's gauntlets featuring a lacy pattern stitch knit up in Ultra Alpaca yarn.,Berroco Design Team,Knitting ,Beginner,N/A,Fall/Winter,"Width across hand – 3 3/4”
Length – 5 1/2”","1 Hank Berroco Ultra Alpaca, shown in #6284 Prune Mix","Straight knitting needles, size 7
2 St markers",20 sts = 4”;  34 rows = 4” in Pat St on size 7 needles,Worsted,50% Alpaca / 50% Wool
Avocet-B PDF,Downloadable PDF,Avocet B is an easy elegant garter stitch cardigan with feminine waist shaping. it is a simplified version of Avocet A.,Norah Gaughan,Knitting ,Beginner,N/A,Fall/Winter/Spring,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 32(36-40-44-48-52)”
Length – 24½(25-25½ -26-26½ -27)”","8(8-10-11-12-13) Hanks Berroco Ultra Alpaca, shown in #6292 Tiger’s Eye Mix","Straight knitting needles, size 8 (5.00 mm)",20 sts = 4”;  36 rows = 4” in Garter St,Worsted,50% Alpaca / 50% Wool
Avocet-A PDF,Downloadable PDF,Avocet A is an easy garter stitch cardigan with feminine waist shaping. Light as air inserts of Ultra Alpaca Fine form front godets and a spread collar. It's an adorned version of Avocet B.,Norah Gaughan,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 32(36-40-44-48-52)”
Length – 24½(25-25½ -26-26½ -27)”","8(8-10-11-12-13) Hanks Berroco Ultra Alpaca, shown in  #6207 Salt & Pepper (Main Color)
1 Hank Berroco Ultra Alpaca Fine, shown in #1207 Salt & Pepper (Contrast Color)","Straight knitting needles, sizes 7 (4.50 mm) and 8 (5.00 mm)","20 sts = 4”;  36 rows = 4” in Garter St with MC on larger needles
20 sts = 4”;  28 rows = 4” in St st with CC on smaller needles",Worsted and DK,50% Alpaca / 50% Wool
Rayures PDF,Downloadable PDF,"
Yes, horizontal stripes can flatter you! It's all a matter of balance. We've shortened the sleeves and added a bold solid-colored cowlneck and a surprise micro-stripe pattern on the back.",Norah Gaughan,Knitting ,Beginner,N/A,Fall/Winter/Spring,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 32(36-40-44-48-52)”
Length – 24½(25-25½ -26-26½ -27)”","3(4-4-4-5-5) Hanks each Berroco Ultra Alpaca, #6205 Dark Chocolate (Main Color) and #6293 Spiceberry Mix (Contrast Color)","Straight knitting needles, size 8 (5.00 mm) 
24” Length circular knitting needle, size 8 (5.00 mm)
1 St marker",20 sts = 4”; 26 rows = 4” in St st,Worsted,50% Alpaca / 50% Wool
Ellen Cardigan PDF,Downloadable PDF,"Fair Isle frames the neck, cuffs, and hem of this fabulous top-down seamless cardigan.",Amy Christoffers,Knitting ,Intermediate,N/A,Winter,"Sizes: X-Small, Small, Medium, Large, 1X, and 2X
Bust (closed) – 33(36½-41-46-49)˝
Length – 22½(22¾-23½-24½-25)˝","5(5-6-7-8) Hanks Berroco Ultra Alpaca:
Main Color - #62173 Forest Mix and 1hank of each Contrast Color - #62178 Grapefruit Mix (CC1), #62168 Candy Floss Mix (CC2), #6287 Denim Mix (CC3), #62189 Barley (CC4), #6299 Lichen Mix (CC5) and #6292 Tiger’s Eye Mix (CC6)","29˝ Length circular knitting needles, sizes 6 (4.00 mm) and 7 (4.50 mm)
1 Set (4) each double pointed knitting needles (dpns), sizes 6 (4.00 mm) and 7 (4.50 mm)
4 St markers
Waste yarn (to hold sleeve sts)
Nine ¾˝ buttons","19 sts and 24 rows = 4˝ in St st
19 sts and 26 rows = 4˝ in St st over Chart 1
",Worsted,50% Alpaca / 50% Wool
Bay PDF,Downloadable PDF,"This simple sweater starts at the sleeve cuff and is worked up and into the body; the stitches for one side are put on holders while the other side is knit, and then an exposed three-needle bind off is worked to form the structural element running down the center of the body.",Berroco Design Team,Knitting ,Intermediate,N/A,Fall/Winter/Spring,"Bust – 36 (40, 44, 48, 52, 56)”
Length – 20 (20½, 21½, 22, 23, 23½)”
","4 (5, 6, 6, 7, 8) hanks of Berroco Ultra Alpaca, shown in #62100 Eiderdown","Two 29” circular needles, size 8 (5.00 mm) or size to obtain gauge
16” circular needle, size 8 (5.00 mm)
1 set (4) double pointed needles (dpns), size 8 (5.00 mm)
1 St marker
4 St holders",20 sts and 28 rows = 4” in St st,Worsted,50% Alpaca / 50% Wool
Cloudberry PDF,Downloadable PDF,"Three colors of Berroco Ultra Alpaca are used to create these fun wrist warmers, and you have an endless number of color combinations.",Amy Christoffers,Knitting ,Intermediate,N/A,Winter,"Approximately 8"" around x 8"" long","1 hank each of Berroco Ultra Alpaca, #62100 Eiderdown (Contrast Color 1), #62168 Candy Floss Mix (Contrast Color 2), and #6292 Tiger’s Eye Mix (Contrast Color 3)","1 set each double-pointed needles (dpns), sizes 2 (2.75 mm) and 4 (3.50 mm) or size to obtain gauge
1 st marker
Waste yarn to hold sts for afterthought thumb
Tapestry needle","24 sts and 26 rows = 4"" in Stockinette st following chart on larger needles",Worsted,50% Alpaca / 50% Wool
Minutia'18 PDF,Downloadable PDF,"For the last few years, Berroco has created little collections of tiny projects you can quickly whip up to add some yarny festivity to your holiday decor. For 2018's bunch, they've dived into one of our favorite holiday tropes—the Ugly Christmas Sweater!",Berroco Design Team,Knitting ,Intermediate,N/A,Winter,"Approximately 8"" wide from cuff to cuff x 3¾"" high","Berroco Ultra Wool DK: small amount each #8301 Cream (Main Color), #8350 Chili (Contrast Color 1), #83103 Wheat (Contrast Color 2), #83115 Bear (Contrast Color 3), and #83149 Pine (Contrast Color 4) ","Knitting needles, size 6 (4.00 mm) or size to obtain gauge
Crochet hook, size 4.00 mm (G)
One ½"" red pom-pom for nose
Twelve ¼"" jingle bells
Tapestry needle
Sewing needle and thread","23 sts and 30 rows = 4"" in St st",DK,100% Wool
